date,open,high,low,close,volume,predict
2020-02-10,11455.0,11598.0,11402.0,11564.0,146860.0,2
2020-02-11,11625.0,11689.0,11613.0,11666.0,91599.0,2
2020-02-12,11663.0,11797.0,11647.0,11771.0,104600.0,2
2020-02-13,11798.0,11837.0,11762.0,11774.0,107657.0,2
2020-02-14,11757.0,11852.0,11755.0,11812.0,96579.0,2
2020-02-17,11710.0,11792.0,11702.0,11770.0,87072.0,2
2020-02-18,11715.0,11719.0,11627.0,11640.0,134942.0,2
2020-02-19,11678.0,11805.0,11637.0,11760.0,81325.0,2
2020-02-20,11820.0,11830.0,11679.0,11715.0,137056.0,2
2020-02-21,11665.0,11765.0,11636.0,11664.0,139390.0,2
2020-02-24,11509.0,11587.0,11476.0,11508.0,135992.0,2
2020-02-25,11400.0,11561.0,11386.0,11542.0,148480.0,2
2020-02-26,11383.0,11482.0,11365.0,11421.0,162501.0,2
2020-02-27,11395.0,11447.0,11237.0,11273.0,167959.0,2
2020-03-02,11011.0,11278.0,11005.0,11174.0,203414.0,1
2020-03-03,11313.0,11375.0,11278.0,11324.0,165380.0,2
2020-03-04,11348.0,11369.0,11267.0,11364.0,142587.0,2
2020-03-05,11450.0,11501.0,11428.0,11492.0,112393.0,2
2020-03-06,11400.0,11420.0,11260.0,11269.0,153321.0,2
2020-03-09,10975.0,11108.0,10916.0,10950.0,212310.0,1
2020-03-10,10830.0,10996.0,10779.0,10984.0,205517.0,1
2020-03-11,10979.0,11029.0,10807.0,10821.0,182375.0,1
2020-03-12,10750.0,10765.0,10161.0,10367.0,330462.0,1
2020-03-13,9749.0,10147.0,9450.0,10021.0,341107.0,2
2020-03-16,9919.0,10055.0,9636.0,9668.0,237994.0,2
2020-03-17,9379.0,9677.0,9271.0,9363.0,243965.0,2
2020-03-18,9366.0,9489.0,9205.0,9263.0,110355.0,2
2020-03-19,8820.0,8872.0,8268.0,8353.0,301732.0,2
2020-03-20,8562.0,9166.0,8544.0,9013.0,265881.0,2
2020-03-23,8609.0,8868.0,8555.0,8688.0,180000.0,2
2020-03-24,8998.0,9295.0,8986.0,9193.0,178708.0,2
2020-03-25,9410.0,9624.0,9370.0,9583.0,208026.0,2
2020-03-26,9679.0,9690.0,9426.0,9638.0,189326.0,2
2020-03-27,9899.0,9910.0,9548.0,9583.0,187426.0,2
2020-03-30,9376.0,9576.0,9266.0,9576.0,164739.0,2
2020-03-31,9666.0,9717.0,9495.0,9596.0,142543.0,2
2020-04-01,9588.0,9650.0,9551.0,9552.0,115884.0,2
2020-04-06,9741.0,9860.0,9582.0,9826.0,145664.0,2
2020-04-07,9813.0,10020.0,9792.0,9997.0,190482.0,2
2020-04-08,10085.0,10184.0,9945.0,10127.0,215828.0,2
2020-04-09,10077.0,10197.0,10008.0,10101.0,202651.0,1
2020-04-10,10105.0,10140.0,9985.0,10133.0,149497.0,1
2020-04-11,10131.0,10185.0,10102.0,10127.0,11139.0,2
2020-04-13,10084.0,10149.0,10031.0,10073.0,111491.0,2
2020-04-14,10081.0,10355.0,10069.0,10346.0,122218.0,2
2020-04-15,10379.0,10463.0,10330.0,10359.0,69013.0,2
2020-04-16,10177.0,10343.0,10161.0,10302.0,121205.0,2
2020-04-17,10575.0,10669.0,10456.0,10561.0,163428.0,2
2020-04-20,10515.0,10560.0,10458.0,10550.0,98871.0,2
2020-04-21,10432.0,10467.0,10144.0,10198.0,193106.0,2
2020-04-22,10145.0,10226.0,10065.0,10225.0,144457.0,2
2020-04-23,10268.0,10402.0,10154.0,10292.0,169966.0,2
2020-04-24,10231.0,10292.0,10211.0,10270.0,107243.0,2
2020-04-27,10373.0,10567.0,10368.0,10547.0,126006.0,2
2020-04-28,10549.0,10605.0,10480.0,10582.0,114225.0,2
2020-04-29,10655.0,10770.0,10631.0,10707.0,116679.0,1
2020-04-30,10813.0,10971.0,10803.0,10944.0,118904.0,1
2020-05-04,10540.0,10699.0,10477.0,10520.0,137078.0,2
2020-05-05,10590.0,10795.0,10576.0,10725.0,115447.0,2
2020-05-06,10732.0,10780.0,10618.0,10750.0,126557.0,2
2020-05-07,10774.0,10877.0,10698.0,10833.0,120880.0,2
2020-05-08,10827.0,10956.0,10810.0,10896.0,118200.0,1
2020-05-09,10873.0,10954.0,10870.0,10953.0,920.0,1
2020-05-11,10979.0,11038.0,10935.0,10983.0,95244.0,1
2020-05-12,10985.0,10989.0,10802.0,10865.0,122290.0,2
2020-05-13,10850.0,10925.0,10765.0,10915.0,108154.0,2
2020-05-14,10922.0,10928.0,10738.0,10750.0,130936.0,2
2020-05-15,10735.0,10869.0,10701.0,10818.0,130009.0,2
2020-05-16,10819.0,10835.0,10735.0,10736.0,784.0,2
2020-05-18,10768.0,10824.0,10724.0,10763.0,115583.0,2
2020-05-19,10755.0,10964.0,10755.0,10872.0,118138.0,2
2020-05-20,10918.0,10960.0,10850.0,10887.0,96845.0,2
2020-05-21,10851.0,11008.0,10827.0,10952.0,153053.0,1
2020-05-22,10947.0,10965.0,10723.0,10743.0,184363.0,2
2020-05-23,10729.0,10803.0,10700.0,10782.0,48703.0,2
2020-05-25,10800.0,10840.0,10651.0,10817.0,120809.0,2
