<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2020/1/1,13:45:00,11996,12024,11965,12024,22505
2020/1/2,13:45:00,12044,12120,12023,12102,100396
2020/1/3,13:45:00,12099,12198,11996,12086,204793
2020/1/4,05:00:00,12092,12094,12035,12043,36868
2020/1/6,13:45:00,12017,12034,11948,11950,118314
2020/1/7,13:45:00,11938,12009,11816,11871,196068
2020/1/8,13:45:00,11867,11911,11697,11788,194968
2020/1/9,13:45:00,11808,11998,11804,11968,154043
2020/1/10,13:45:00,11970,12042,11940,12010,134995
2020/1/11,05:00:00,12015,12037,11997,12013,19983
2020/1/13,13:45:00,12085,12121,12044,12117,114658
2020/1/14,13:45:00,12122,12199,12114,12181,108225
2020/1/15,13:45:00,12174,12197,12058,12063,105141
2020/1/16,13:45:00,12067,12085,11990,12056,133461
2020/1/17,13:45:00,12066,12118,12029,12072,133398
2020/1/18,05:00:00,12077,12106,12072,12106,16582
2020/1/20,13:45:00,12119,12160,12097,12111,77507
2020/1/21,13:45:00,12116,12117,12079,12099,11314
2020/1/30,13:45:00,11770,11798,11366,11370,248062
2020/1/31,13:45:00,11367,11567,11271,11468,224388
2020/2/1,05:00:00,11455,11470,11211,11241,71113
2020/2/3,13:45:00,11285,11370,11152,11325,206200
2020/2/4,13:45:00,11309,11557,11298,11534,182350
2020/2/5,13:45:00,11541,11639,11474,11542,196583
2020/2/6,13:45:00,11554,11744,11539,11741,184532
2020/2/7,13:45:00,11741,11742,11566,11592,173321
2020/2/8,05:00:00,11614,11626,11485,11495,53570
2020/2/10,13:45:00,11455,11598,11402,11564,146860
2020/2/11,13:45:00,11565,11689,11520,11666,127675
2020/2/12,13:45:00,11657,11797,11645,11771,135736
2020/2/13,13:45:00,11780,11842,11762,11774,145156
2020/2/14,13:45:00,11775,11852,11708,11812,151836
2020/2/15,05:00:00,11810,11812,11736,11762,42604
2020/2/17,13:45:00,11710,11792,11702,11770,87072
2020/2/18,13:45:00,11774,11786,11627,11640,150663
2020/2/19,13:45:00,11627,11805,11603,11760,116165
2020/2/20,13:45:00,11762,11830,11679,11715,165381
2020/2/21,13:45:00,11723,11765,11621,11664,185121
2020/2/22,05:00:00,11666,11678,11600,11603,47408
2020/2/24,13:45:00,11509,11587,11476,11508,135992
2020/2/25,13:45:00,11505,11561,11315,11542,242194
2020/2/26,13:45:00,11549,11555,11340,11421,263752
2020/2/27,13:45:00,11392,11487,11237,11273,288145
2020/2/28,13:45:00,11306,11345,11160,11162,136416
2020/3/2,13:45:00,11011,11278,11005,11174,203414
2020/3/3,13:45:00,11171,11375,11072,11324,293733
2020/3/4,13:45:00,11331,11400,11206,11364,267404
2020/3/5,13:45:00,11380,11501,11368,11492,172972
2020/3/6,13:45:00,11481,11486,11260,11269,221915
2020/3/7,05:00:00,11263,11287,11120,11225,121134
2020/3/9,13:45:00,10975,11108,10916,10950,212310
2020/3/10,13:45:00,10957,10996,10680,10984,364376
2020/3/11,13:45:00,10962,11050,10807,10821,310455
2020/3/12,13:45:00,10821,10879,10161,10367,442958
2020/3/13,13:45:00,10362,10378,9450,10021,554989
2020/3/14,05:00:00,10030,10346,9763,10185,219939
2020/3/16,13:45:00,9919,10055,9636,9668,247494
2020/3/17,13:45:00,9379,9677,9271,9363,243965
2020/3/18,13:45:00,9366,9489,9205,9263,110355
2020/3/19,13:45:00,8820,8872,8268,8353,301732
2020/3/20,13:45:00,8562,9166,8544,9013,265881
2020/3/23,13:45:00,8609,8868,8555,8688,180000
2020/3/24,13:45:00,8998,9295,8986,9193,178708
2020/3/25,13:45:00,9410,9624,9370,9583,208026
2020/3/26,13:45:00,9679,9690,9426,9638,189326
2020/3/27,13:45:00,9899,9910,9548,9583,187426
2020/3/30,13:45:00,9376,9576,9266,9576,164739
2020/3/31,13:45:00,9666,9717,9495,9596,142543
2020/4/1,13:45:00,9588,9650,9551,9552,115884
2020/4/6,13:45:00,9741,9860,9582,9826,145664
2020/4/7,13:45:00,9955,10020,9878,9997,136837
2020/4/8,13:45:00,9950,10135,9945,10127,126691
2020/4/9,13:45:00,10131,10197,10028,10101,132471
2020/4/10,13:45:00,10038,10140,10030,10133,72463
2020/4/13,13:45:00,10084,10149,10031,10073,106839
2020/4/14,13:45:00,10160,10355,10125,10346,113099
2020/4/15,13:45:00,10347,10463,10330,10450,65120
2020/4/16,13:45:00,10177,10343,10161,10302,121205
2020/4/17,13:45:00,10575,10669,10456,10561,163428
2020/4/20,13:45:00,10515,10560,10458,10476,99732
2020/4/21,13:45:00,10406,10467,10144,10198,188077
2020/4/22,13:45:00,10145,10226,10065,10225,144461
2020/4/23,13:45:00,10268,10402,10154,10292,170811
2020/4/24,13:45:00,10231,10292,10211,10270,107246
2020/4/27,13:45:00,10373,10567,10368,10547,126008
2020/4/28,13:45:00,10600,10605,10480,10582,113840
2020/4/29,13:45:00,10655,10770,10631,10707,117762
2020/4/30,13:45:00,10813,10971,10803,10944,119614
